,index,response,rt,ppt_idx,accuracy,match,media_condition,sent_condition,item,object,list,ppt_id
254,39,2,0.854,40,1,match,b,b,36,chicken,1,1_40
255,40,2,1.517,41,1,match,b,b,36,chicken,1,1_41
256,41,2,1.523,42,1,match,b,b,36,chicken,1,1_42
257,42,2,0.721,43,1,match,b,b,36,chicken,1,1_43
258,0,2,0.797,1,1,match,a,a,54,cig,1,1_1
259,1,2,0.538,2,1,match,a,a,54,cig,1,1_2
260,2,2,0.472,3,1,match,a,a,54,cig,1,1_3
261,3,2,0.665,4,1,match,a,a,54,cig,1,1_4
262,4,2,2.298,5,1,match,a,a,54,cig,1,1_5
263,5,2,0.602,6,1,match,a,a,54,cig,1,1_6
264,6,2,1.937,7,1,match,a,a,54,cig,1,1_7
265,7,2,1.485,8,1,match,a,a,54,cig,1,1_8
266,8,2,0.904,9,1,match,a,a,54,cig,1,1_9
267,9,2,1.078,10,1,match,a,a,54,cig,1,1_10
268,10,2,1.203,11,1,match,a,a,54,cig,1,1_11
269,11,2,1.745,12,1,match,a,a,54,cig,1,1_12
270,12,2,1.3,13,1,match,a,a,54,cig,1,1_13
271,13,2,0.518,14,1,match,a,a,54,cig,1,1_14
272,14,2,1.041,15,1,match,a,a,54,cig,1,1_15
273,15,2,1.203,16,1,match,a,a,54,cig,1,1_16
274,16,2,1.388,17,1,match,a,a,54,cig,1,1_17
275,17,2,0.66,18,1,match,a,a,54,cig,1,1_18
276,18,2,0.822,19,1,match,a,a,54,cig,1,1_19
277,19,2,2.327,20,1,match,a,a,54,cig,1,1_20
278,20,2,0.807,21,1,match,a,a,54,cig,1,1_21
279,21,2,0.556,22,1,match,a,a,54,cig,1,1_22
280,22,2,0.953,23,1,match,a,a,54,cig,1,1_23
281,23,2,1.001,24,1,match,a,a,54,cig,1,1_24
282,24,2,0.63,25,1,match,a,a,54,cig,1,1_25
283,25,2,0.892,26,1,match,a,a,54,cig,1,1_26
284,26,2,1.454,27,1,match,a,a,54,cig,1,1_27
285,27,2,1.151,28,1,match,a,a,54,cig,1,1_28
286,28,2,1.413,29,1,match,a,a,54,cig,1,1_29
287,29,2,1.042,30,1,match,a,a,54,cig,1,1_30
288,30,2,0.87,31,1,match,a,a,54,cig,1,1_31
289,31,2,0.788,32,1,match,a,a,54,cig,1,1_32
290,32,2,1.054,33,1,match,a,a,54,cig,1,1_33
291,33,2,0.593,34,1,match,a,a,54,cig,1,1_34
292,34,2,1.14,35,1,match,a,a,54,cig,1,1_35
293,35,2,1.343,36,1,match,a,a,54,cig,1,1_36
294,36,2,1.1,37,1,match,a,a,54,cig,1,1_37
295,37,2,1.039,38,1,match,a,a,54,cig,1,1_38
296,38,2,0.528,39,1,match,a,a,54,cig,1,1_39
297,39,2,0.602,40,1,match,a,a,54,cig,1,1_40
298,40,2,1.172,41,1,match,a,a,54,cig,1,1_41
299,41,2,1.022,42,1,match,a,a,54,cig,1,1_42
300,42,2,0.562,43,1,match,a,a,54,cig,1,1_43
301,0,2,0.501,1,1,match,a,a,48,fish,1,1_1
302,1,2,0.532,2,1,match,a,a,48,fish,1,1_2
303,2,2,0.497,3,1,match,a,a,48,fish,1,1_3
304,3,2,0.643,4,1,match,a,a,48,fish,1,1_4
305,4,2,0.911,5,1,match,a,a,48,fish,1,1_5
306,5,2,0.641,6,1,match,a,a,48,fish,1,1_6
307,6,2,1.299,7,1,match,a,a,48,fish,1,1_7
308,7,2,2.38,8,1,match,a,a,48,fish,1,1_8
309,8,1, ,9,0,match,a,a,48,fish,1,1_9
310,9,2,1.219,10,1,match,a,a,48,fish,1,1_10
311,10,2,0.871,11,1,match,a,a,48,fish,1,1_11
312,11,2,1.986,12,1,match,a,a,48,fish,1,1_12
313,12,2,1.426,13,1,match,a,a,48,fish,1,1_13
314,13,2,0.416,14,1,match,a,a,48,fish,1,1_14
315,14,2,0.601,15,1,match,a,a,48,fish,1,1_15
316,15,2,0.959,16,1,match,a,a,48,fish,1,1_16
317,16,2,1.25,17,1,match,a,a,48,fish,1,1_17
318,17,2,0.657,18,1,match,a,a,48,fish,1,1_18
319,18,2,1.025,19,1,match,a,a,48,fish,1,1_19
320,19,2,1.65,20,1,match,a,a,48,fish,1,1_20
321,20,2,0.885,21,1,match,a,a,48,fish,1,1_21
322,21,2,0.769,22,1,match,a,a,48,fish,1,1_22
323,22,2,1.485,23,1,match,a,a,48,fish,1,1_23
324,23,2,0.598,24,1,match,a,a,48,fish,1,1_24
325,24,2,0.62,25,1,match,a,a,48,fish,1,1_25
326,25,2,0.908,26,1,match,a,a,48,fish,1,1_26
327,26,2,1.824,27,1,match,a,a,48,fish,1,1_27
328,27,2,0.688,28,1,match,a,a,48,fish,1,1_28
329,28,2,1.307,29,1,match,a,a,48,fish,1,1_29
330,29,2,1.041,30,1,match,a,a,48,fish,1,1_30
331,30,2,1.068,31,1,match,a,a,48,fish,1,1_31
332,31,2,3.655,32,1,match,a,a,48,fish,1,1_32
333,32,2,0.491,33,1,match,a,a,48,fish,1,1_33
334,33,2,2.03,34,1,match,a,a,48,fish,1,1_34
335,34,2,1.278,35,1,match,a,a,48,fish,1,1_35
336,35,2,0.738,36,1,match,a,a,48,fish,1,1_36
337,36,2,1.406,37,1,match,a,a,48,fish,1,1_37
338,37,2,0.711,38,1,match,a,a,48,fish,1,1_38
339,38,2,0.764,39,1,match,a,a,48,fish,1,1_39
340,39,2,0.472,40,1,match,a,a,48,fish,1,1_40
341,40,2,1.342,41,1,match,a,a,48,fish,1,1_41
342,41,2,0.971,42,1,match,a,a,48,fish,1,1_42
343,42,2,0.52,43,1,match,a,a,48,fish,1,1_43
344,0,2,0.486,1,1,match,a,a,37,hockey,1,1_1
345,1,2,0.744,2,1,match,a,a,37,hockey,1,1_2
346,2,2,0.581,3,1,match,a,a,37,hockey,1,1_3
347,3,2,0.432,4,1,match,a,a,37,hockey,1,1_4
348,4,2,0.94,5,1,match,a,a,37,hockey,1,1_5
349,5,2,0.577,6,1,match,a,a,37,hockey,1,1_6
350,6,2,9.76,7,1,match,a,a,37,hockey,1,1_7
351,7,2,0.99,8,1,match,a,a,37,hockey,1,1_8
352,8,2,0.765,9,1,match,a,a,37,hockey,1,1_9
353,9,2,1.25,10,1,match,a,a,37,hockey,1,1_10
354,10,2,1.017,11,1,match,a,a,37,hockey,1,1_11
355,11,2,1.936,12,1,match,a,a,37,hockey,1,1_12
356,12,2,1.396,13,1,match,a,a,37,hockey,1,1_13
357,13,2,0.527,14,1,match,a,a,37,hockey,1,1_14
358,14,2,0.78,15,1,match,a,a,37,hockey,1,1_15
359,15,2,0.796,16,1,match,a,a,37,hockey,1,1_16
360,16,2,1.125,17,1,match,a,a,37,hockey,1,1_17
361,17,2,0.636,18,1,match,a,a,37,hockey,1,1_18
362,18,2,1.024,19,1,match,a,a,37,hockey,1,1_19
363,19,2,3.644,20,1,match,a,a,37,hockey,1,1_20
364,20,2,1.031,21,1,match,a,a,37,hockey,1,1_21
365,21,2,0.579,22,1,match,a,a,37,hockey,1,1_22
366,22,2,1.734,23,1,match,a,a,37,hockey,1,1_23
367,23,1, ,24,0,match,a,a,37,hockey,1,1_24
368,24,2,0.458,25,1,match,a,a,37,hockey,1,1_25
369,25,2,0.655,26,1,match,a,a,37,hockey,1,1_26
370,26,2,1.84,27,1,match,a,a,37,hockey,1,1_27
371,27,2,2.047,28,1,match,a,a,37,hockey,1,1_28
372,28,2,1.488,29,1,match,a,a,37,hockey,1,1_29
373,29,2,0.75,30,1,match,a,a,37,hockey,1,1_30
374,30,2,1.577,31,1,match,a,a,37,hockey,1,1_31
375,31,2,1.167,32,1,match,a,a,37,hockey,1,1_32
376,32,2,0.682,33,1,match,a,a,37,hockey,1,1_33
377,33,2,0.658,34,1,match,a,a,37,hockey,1,1_34
378,34,2,1.514,35,1,match,a,a,37,hockey,1,1_35
379,35,2,1.853,36,1,match,a,a,37,hockey,1,1_36
380,36,2,1.049,37,1,match,a,a,37,hockey,1,1_37
381,37,2,0.741,38,1,match,a,a,37,hockey,1,1_38
382,38,2,0.736,39,1,match,a,a,37,hockey,1,1_39
383,39,2,0.599,40,1,match,a,a,37,hockey,1,1_40
384,40,2,1.512,41,1,match,a,a,37,hockey,1,1_41
385,41,2,0.954,42,1,match,a,a,37,hockey,1,1_42
386,42,2,0.998,43,1,match,a,a,37,hockey,1,1_43
387,0,2,0.471,1,1,match,b,b,56,eagle,1,1_1
388,1,2,1.085,2,1,match,b,b,56,eagle,1,1_2
389,2,2,0.912,3,1,match,b,b,56,eagle,1,1_3
390,3,2,0.792,4,1,match,b,b,56,eagle,1,1_4
391,4,2,1.328,5,1,match,b,b,56,eagle,1,1_5
392,5,2,2.019,6,1,match,b,b,56,eagle,1,1_6
393,6,2,1.79,7,1,match,b,b,56,eagle,1,1_7
394,7,2,0.951,8,1,match,b,b,56,eagle,1,1_8
395,8,2,0.723,9,1,match,b,b,56,eagle,1,1_9
396,9,2,7.594,10,1,match,b,b,56,eagle,1,1_10
397,10,2,1.065,11,1,match,b,b,56,eagle,1,1_11
398,11,2,1.541,12,1,match,b,b,56,eagle,1,1_12
399,12,2,1.402,13,1,match,b,b,56,eagle,1,1_13
400,13,2,0.553,14,1,match,b,b,56,eagle,1,1_14
401,14,2,0.704,15,1,match,b,b,56,eagle,1,1_15
402,15,2,1.876,16,1,match,b,b,56,eagle,1,1_16
403,16,2,1.108,17,1,match,b,b,56,eagle,1,1_17
404,17,2,0.685,18,1,match,b,b,56,eagle,1,1_18
405,18,2,2.076,19,1,match,b,b,56,eagle,1,1_19
406,19,2,2.188,20,1,match,b,b,56,eagle,1,1_20
407,20,2,1.855,21,1,match,b,b,56,eagle,1,1_21
408,21,2,0.851,22,1,match,b,b,56,eagle,1,1_22
409,22,2,5.937,23,1,match,b,b,56,eagle,1,1_23
410,23,2,0.467,24,1,match,b,b,56,eagle,1,1_24
411,24,2,1.24,25,1,match,b,b,56,eagle,1,1_25
412,25,2,0.66,26,1,match,b,b,56,eagle,1,1_26
413,26,2,2.945,27,1,match,b,b,56,eagle,1,1_27
414,27,2,0.821,28,1,match,b,b,56,eagle,1,1_28
415,28,2,0.996,29,1,match,b,b,56,eagle,1,1_29
416,29,2,0.678,30,1,match,b,b,56,eagle,1,1_30
417,30,2,1.208,31,1,match,b,b,56,eagle,1,1_31
418,31,2,1.05,32,1,match,b,b,56,eagle,1,1_32
419,32,2,0.913,33,1,match,b,b,56,eagle,1,1_33
420,33,2,0.837,34,1,match,b,b,56,eagle,1,1_34
421,34,2,2.398,35,1,match,b,b,56,eagle,1,1_35
422,35,1, ,36,0,match,b,b,56,eagle,1,1_36
423,36,2,1.257,37,1,match,b,b,56,eagle,1,1_37
424,37,2,0.976,38,1,match,b,b,56,eagle,1,1_38
425,38,2,0.547,39,1,match,b,b,56,eagle,1,1_39
426,39,2,0.543,40,1,match,b,b,56,eagle,1,1_40
427,40,2,1.429,41,1,match,b,b,56,eagle,1,1_41
428,41,2,2.493,42,1,match,b,b,56,eagle,1,1_42
429,42,2,0.559,43,1,match,b,b,56,eagle,1,1_43
430,0,2,0.481,1,1,match,a,a,41,egg,1,1_1
431,1,1, ,2,0,match,a,a,41,egg,1,1_2
432,2,2,0.832,3,1,match,a,a,41,egg,1,1_3
433,3,2,0.522,4,1,match,a,a,41,egg,1,1_4
434,4,2,0.987,5,1,match,a,a,41,egg,1,1_5
435,5,2,0.713,6,1,match,a,a,41,egg,1,1_6
436,6,2,1.404,7,1,match,a,a,41,egg,1,1_7
437,7,2,2.053,8,1,match,a,a,41,egg,1,1_8
438,8,2,0.811,9,1,match,a,a,41,egg,1,1_9
439,9,2,0.688,10,1,match,a,a,41,egg,1,1_10
440,10,2,0.689,11,1,match,a,a,41,egg,1,1_11
