,index,response,rt,ppt_idx,match,condition_a,object,accuracy,list,ppt_id
268,4,2,0.781,5,Match,chunk,cheese,1,1,1_5
269,5,2,0.455,6,Match,chunk,cheese,1,1,1_6
270,6,2,1.111,7,Match,chunk,cheese,1,1,1_7
271,7,2,0.675,8,Match,chunk,cheese,1,1,1_8
272,8,2,0.998,9,Match,chunk,cheese,1,1,1_9
273,9,2,1.038,10,Match,chunk,cheese,1,1,1_10
274,10,2,0.816,11,Match,chunk,cheese,1,1,1_11
275,11,2,0.786,12,Match,chunk,cheese,1,1,1_12
276,12,2,0.799,13,Match,chunk,cheese,1,1,1_13
277,13,2,0.612,14,Match,chunk,cheese,1,1,1_14
278,14,2,0.954,15,Match,chunk,cheese,1,1,1_15
279,15,2,0.613,16,Match,chunk,cheese,1,1,1_16
280,16,2,0.45,17,Match,chunk,cheese,1,1,1_17
281,17,2,0.789,18,Match,chunk,cheese,1,1,1_18
282,18,2,1.087,19,Match,chunk,cheese,1,1,1_19
283,19,2,1.003,20,Match,chunk,cheese,1,1,1_20
284,20,2,2.055,21,Match,chunk,cheese,1,1,1_21
285,21,2,0.983,22,Match,chunk,cheese,1,1,1_22
286,22,2,1.319,23,Match,chunk,cheese,1,1,1_23
287,23,2,0.653,24,Match,chunk,cheese,1,1,1_24
288,24,2,0.489,25,Match,chunk,cheese,1,1,1_25
289,25,2,1.495,26,Match,chunk,cheese,1,1,1_26
290,26,2,1.16,27,Match,chunk,cheese,1,1,1_27
291,27,2,0.812,28,Match,chunk,cheese,1,1,1_28
292,28,2,1.005,29,Match,chunk,cheese,1,1,1_29
293,29,2,0.432,30,Match,chunk,cheese,1,1,1_30
294,30,2,3.025,31,Match,chunk,cheese,1,1,1_31
295,31,2,1.36,32,Match,chunk,cheese,1,1,1_32
296,32,2,1.092,33,Match,chunk,cheese,1,1,1_33
297,33,2,1.505,34,Match,chunk,cheese,1,1,1_34
298,34,2,0.964,35,Match,chunk,cheese,1,1,1_35
299,35,2,1.029,36,Match,chunk,cheese,1,1,1_36
300,36,2,1.265,37,Match,chunk,cheese,1,1,1_37
301,37,2,0.88,38,Match,chunk,cheese,1,1,1_38
302,38,2,0.734,39,Match,chunk,cheese,1,1,1_39
303,39,2,1.249,40,Match,chunk,cheese,1,1,1_40
304,40,2,0.664,41,Match,chunk,cheese,1,1,1_41
305,41,2,1.25,42,Match,chunk,cheese,1,1,1_42
306,42,2,0.657,43,Match,chunk,cheese,1,1,1_43
307,43,2,1.158,44,Match,chunk,cheese,1,1,1_44
308,0,2,0.741,1,Match,plate,chicken,1,1,1_1
309,1,2,1.418,2,Match,plate,chicken,1,1,1_2
310,2,2,0.992,3,Match,plate,chicken,1,1,1_3
311,3,2,2.89,4,Match,plate,chicken,1,1,1_4
312,4,2,1.078,5,Match,plate,chicken,1,1,1_5
313,5,2,0.941,6,Match,plate,chicken,1,1,1_6
314,6,2,1.787,7,Match,plate,chicken,1,1,1_7
315,7,2,0.865,8,Match,plate,chicken,1,1,1_8
316,8,2,1.42,9,Match,plate,chicken,1,1,1_9
317,9,2,0.835,10,Match,plate,chicken,1,1,1_10
318,10,2,0.76,11,Match,plate,chicken,1,1,1_11
319,11,2,0.814,12,Match,plate,chicken,1,1,1_12
320,12,2,0.77,13,Match,plate,chicken,1,1,1_13
321,13,2,1.145,14,Match,plate,chicken,1,1,1_14
322,14,2,1.524,15,Match,plate,chicken,1,1,1_15
323,15,2,0.738,16,Match,plate,chicken,1,1,1_16
324,16,2,0.626,17,Match,plate,chicken,1,1,1_17
325,17,2,2.172,18,Match,plate,chicken,1,1,1_18
326,18,2,1.308,19,Match,plate,chicken,1,1,1_19
327,19,2,0.715,20,Match,plate,chicken,1,1,1_20
328,20,2,3.096,21,Match,plate,chicken,1,1,1_21
329,21,2,0.729,22,Match,plate,chicken,1,1,1_22
330,22,2,1.356,23,Match,plate,chicken,1,1,1_23
331,23,2,0.662,24,Match,plate,chicken,1,1,1_24
332,24,2,1.031,25,Match,plate,chicken,1,1,1_25
333,25,2,0.95,26,Match,plate,chicken,1,1,1_26
334,26,1, ,27,Match,plate,chicken,0,1,1_27
335,27,2,0.725,28,Match,plate,chicken,1,1,1_28
336,28,2,0.604,29,Match,plate,chicken,1,1,1_29
337,29,2,0.63,30,Match,plate,chicken,1,1,1_30
338,30,2,1.047,31,Match,plate,chicken,1,1,1_31
339,31,2,1.796,32,Match,plate,chicken,1,1,1_32
340,32,2,1.114,33,Match,plate,chicken,1,1,1_33
341,33,2,2.053,34,Match,plate,chicken,1,1,1_34
342,34,2,0.518,35,Match,plate,chicken,1,1,1_35
343,35,2,1.188,36,Match,plate,chicken,1,1,1_36
344,36,2,1.03,37,Match,plate,chicken,1,1,1_37
345,37,2,1.504,38,Match,plate,chicken,1,1,1_38
346,38,2,0.673,39,Match,plate,chicken,1,1,1_39
347,39,2,2.23,40,Match,plate,chicken,1,1,1_40
348,40,2,1.176,41,Match,plate,chicken,1,1,1_41
349,41,2,1.64,42,Match,plate,chicken,1,1,1_42
350,42,2,0.827,43,Match,plate,chicken,1,1,1_43
351,43,2,2.361,44,Match,plate,chicken,1,1,1_44
352,0,2,0.797,1,Match,full,cig,1,1,1_1
353,1,1, ,2,Match,full,cig,0,1,1_2
354,2,2,1.388,3,Match,full,cig,1,1,1_3
355,3,2,0.84,4,Match,full,cig,1,1,1_4
356,4,2,0.89,5,Match,full,cig,1,1,1_5
357,5,2,1.184,6,Match,full,cig,1,1,1_6
358,6,2,0.73,7,Match,full,cig,1,1,1_7
359,7,2,0.766,8,Match,full,cig,1,1,1_8
360,8,2,1.295,9,Match,full,cig,1,1,1_9
361,9,2,0.922,10,Match,full,cig,1,1,1_10
362,10,2,0.468,11,Match,full,cig,1,1,1_11
363,11,2,1.54,12,Match,full,cig,1,1,1_12
364,12,2,0.978,13,Match,full,cig,1,1,1_13
365,13,2,0.906,14,Match,full,cig,1,1,1_14
366,14,2,1.923,15,Match,full,cig,1,1,1_15
367,15,2,0.676,16,Match,full,cig,1,1,1_16
368,16,2,0.675,17,Match,full,cig,1,1,1_17
369,17,2,1.068,18,Match,full,cig,1,1,1_18
370,18,2,0.65,19,Match,full,cig,1,1,1_19
371,19,2,0.914,20,Match,full,cig,1,1,1_20
372,20,2,1.205,21,Match,full,cig,1,1,1_21
373,21,2,1.401,22,Match,full,cig,1,1,1_22
374,22,2,1.898,23,Match,full,cig,1,1,1_23
375,23,2,0.572,24,Match,full,cig,1,1,1_24
376,24,2,1.06,25,Match,full,cig,1,1,1_25
377,25,2,0.883,26,Match,full,cig,1,1,1_26
378,26,2,3.948,27,Match,full,cig,1,1,1_27
379,27,2,0.863,28,Match,full,cig,1,1,1_28
380,28,2,2.043,29,Match,full,cig,1,1,1_29
381,29,2,0.783,30,Match,full,cig,1,1,1_30
382,30,2,0.842,31,Match,full,cig,1,1,1_31
383,31,2,0.953,32,Match,full,cig,1,1,1_32
384,32,2,1.127,33,Match,full,cig,1,1,1_33
385,33,2,1.661,34,Match,full,cig,1,1,1_34
386,34,2,0.7,35,Match,full,cig,1,1,1_35
387,35,2,1.166,36,Match,full,cig,1,1,1_36
388,36,2,1.262,37,Match,full,cig,1,1,1_37
389,37,2,1.815,38,Match,full,cig,1,1,1_38
390,38,2,0.674,39,Match,full,cig,1,1,1_39
391,39,2,1.577,40,Match,full,cig,1,1,1_40
392,40,2,0.904,41,Match,full,cig,1,1,1_41
393,41,2,1.216,42,Match,full,cig,1,1,1_42
394,42,2,0.539,43,Match,full,cig,1,1,1_43
395,43,2,1.74,44,Match,full,cig,1,1,1_44
396,0,2,1.001,1,Match,alive,fish,1,1,1_1
397,1,2,1.371,2,Match,alive,fish,1,1,1_2
398,2,2,0.972,3,Match,alive,fish,1,1,1_3
399,3,2,0.981,4,Match,alive,fish,1,1,1_4
400,4,2,0.532,5,Match,alive,fish,1,1,1_5
401,5,2,0.604,6,Match,alive,fish,1,1,1_6
402,6,2,1.171,7,Match,alive,fish,1,1,1_7
403,7,2,1.156,8,Match,alive,fish,1,1,1_8
404,8,2,0.952,9,Match,alive,fish,1,1,1_9
405,9,2,1.719,10,Match,alive,fish,1,1,1_10
406,10,2,0.547,11,Match,alive,fish,1,1,1_11
407,11,2,0.812,12,Match,alive,fish,1,1,1_12
408,12,2,2.009,13,Match,alive,fish,1,1,1_13
409,13,2,0.854,14,Match,alive,fish,1,1,1_14
410,14,2,1.024,15,Match,alive,fish,1,1,1_15
411,15,2,0.771,16,Match,alive,fish,1,1,1_16
412,16,2,0.573,17,Match,alive,fish,1,1,1_17
413,17,2,0.666,18,Match,alive,fish,1,1,1_18
414,18,2,0.847,19,Match,alive,fish,1,1,1_19
415,19,2,1.167,20,Match,alive,fish,1,1,1_20
416,20,2,4.882,21,Match,alive,fish,1,1,1_21
417,21,2,1.897,22,Match,alive,fish,1,1,1_22
418,22,2,1.177,23,Match,alive,fish,1,1,1_23
419,23,2,0.536,24,Match,alive,fish,1,1,1_24
420,24,2,0.649,25,Match,alive,fish,1,1,1_25
421,25,2,0.829,26,Match,alive,fish,1,1,1_26
422,26,2,10.202,27,Match,alive,fish,1,1,1_27
423,27,2,0.654,28,Match,alive,fish,1,1,1_28
424,28,2,1.213,29,Match,alive,fish,1,1,1_29
425,29,2,0.793,30,Match,alive,fish,1,1,1_30
426,30,2,0.453,31,Match,alive,fish,1,1,1_31
427,31,2,2.297,32,Match,alive,fish,1,1,1_32
428,32,2,1.12,33,Match,alive,fish,1,1,1_33
429,33,2,4.139,34,Match,alive,fish,1,1,1_34
430,34,2,0.768,35,Match,alive,fish,1,1,1_35
431,35,2,1.277,36,Match,alive,fish,1,1,1_36
432,36,2,2.181,37,Match,alive,fish,1,1,1_37
433,37,2,1.532,38,Match,alive,fish,1,1,1_38
434,38,2,0.931,39,Match,alive,fish,1,1,1_39
435,39,2,1.738,40,Match,alive,fish,1,1,1_40
436,40,2,0.708,41,Match,alive,fish,1,1,1_41
437,41,2,0.792,42,Match,alive,fish,1,1,1_42
438,42,2,0.55,43,Match,alive,fish,1,1,1_43
439,43,2,1.458,44,Match,alive,fish,1,1,1_44
440,0,2,0.865,1,Match,playing,hockey,1,1,1_1
441,1,2,1.668,2,Match,playing,hockey,1,1,1_2
442,2,2,0.778,3,Match,playing,hockey,1,1,1_3
443,3,2,0.776,4,Match,playing,hockey,1,1,1_4
444,4,2,0.641,5,Match,playing,hockey,1,1,1_5
445,5,2,0.618,6,Match,playing,hockey,1,1,1_6
446,6,2,1.03,7,Match,playing,hockey,1,1,1_7
447,7,2,0.541,8,Match,playing,hockey,1,1,1_8
448,8,2,1.295,9,Match,playing,hockey,1,1,1_9
449,9,2,1.24,10,Match,playing,hockey,1,1,1_10
450,10,2,1.08,11,Match,playing,hockey,1,1,1_11
451,11,2,0.74,12,Match,playing,hockey,1,1,1_12
452,12,2,1.417,13,Match,playing,hockey,1,1,1_13
453,13,2,0.577,14,Match,playing,hockey,1,1,1_14
454,14,2,1.175,15,Match,playing,hockey,1,1,1_15
455,15,2,0.872,16,Match,playing,hockey,1,1,1_16
456,16,2,0.519,17,Match,playing,hockey,1,1,1_17
457,17,2,0.681,18,Match,playing,hockey,1,1,1_18
458,18,2,1.149,19,Match,playing,hockey,1,1,1_19
459,19,2,1.051,20,Match,playing,hockey,1,1,1_20
460,20,2,1.516,21,Match,playing,hockey,1,1,1_21
461,21,2,1.005,22,Match,playing,hockey,1,1,1_22
462,22,2,1.568,23,Match,playing,hockey,1,1,1_23
463,23,2,0.647,24,Match,playing,hockey,1,1,1_24
464,24,2,0.927,25,Match,playing,hockey,1,1,1_25
465,25,2,0.993,26,Match,playing,hockey,1,1,1_26
466,26,2,3.3,27,Match,playing,hockey,1,1,1_27
467,27,2,0.532,28,Match,playing,hockey,1,1,1_28
